time,open,high,low,close,volume
1640995200,1.309,1.336,1.308,1.326,8784588.790000001
1641009600,1.326,1.337,1.306,1.325,6296802.16
1641024000,1.325,1.332,1.312,1.319,1706489.5699999998
1641038400,1.319,1.339,1.319,1.333,2553155.17
1641052800,1.333,1.348,1.331,1.347,4927653.95
1641067200,1.347,1.38,1.346,1.38,6670066.58
1641081600,1.38,1.382,1.349,1.355,4181047.54
1641096000,1.355,1.369,1.343,1.355,3619335.47
1641110400,1.355,1.368,1.349,1.364,2195023.75
1641124800,1.364,1.374,1.356,1.37,3365193.16
1641139200,1.37,1.391,1.356,1.363,7709229.55
1641153600,1.363,1.38,1.358,1.378,3782426.38
1641168000,1.378,1.378,1.346,1.35,4429966.98
1641182400,1.35,1.361,1.345,1.353,2429112.88
1641196800,1.353,1.373,1.349,1.371,2717536.05
1641211200,1.371,1.374,1.35,1.353,4203764.15
1641225600,1.353,1.356,1.325,1.33,10511089.78
1641240000,1.33,1.332,1.311,1.319,8414482.95
1641254400,1.319,1.323,1.296,1.315,8606339.21
1641268800,1.315,1.324,1.307,1.324,3333195.97
1641283200,1.324,1.341,1.319,1.34,3556492.52
1641297600,1.34,1.351,1.328,1.335,6348451.33
1641312000,1.335,1.349,1.302,1.315,9112989.75
1641326400,1.315,1.327,1.308,1.309,4120074.05
1641340800,1.309,1.334,1.304,1.331,3397642.75
1641355200,1.331,1.351,1.329,1.34,2940364.1
1641369600,1.34,1.352,1.324,1.329,2687652.95
1641384000,1.329,1.336,1.316,1.327,6963876.36
1641398400,1.327,1.328,1.247,1.255,16793050.62
1641412800,1.255,1.266,1.195,1.23,22464402.6
1641427200,1.23,1.243,1.203,1.203,8385216.8
1641441600,1.203,1.232,1.198,1.223,7303317.220000001
1641456000,1.223,1.224,1.193,1.203,9282742.68
1641470400,1.203,1.248,1.187,1.233,31096102.17
1641484800,1.233,1.254,1.225,1.247,21795969.77
1641499200,1.247,1.297,1.247,1.28,32991401.13
1641513600,1.28,1.285,1.202,1.207,35015936.65
1641528000,1.207,1.239,1.19,1.207,50820432.05
1641542400,1.207,1.244,1.203,1.232,20971797.38
1641556800,1.232,1.25,1.194,1.209,38818265.120000005
1641571200,1.209,1.24,1.195,1.224,27450242.05
1641585600,1.224,1.231,1.201,1.209,16365310.88
1641600000,1.209,1.234,1.207,1.223,17509052.58
1641614400,1.223,1.242,1.217,1.238,11815303.84
1641628800,1.238,1.254,1.234,1.237,11085958.77
1641643200,1.237,1.245,1.21,1.215,12550136.11
1641657600,1.215,1.224,1.129,1.145,73227355.74000001
1641672000,1.145,1.231,1.136,1.183,39381704.47
1641686400,1.183,1.199,1.173,1.176,26368094.47
1641700800,1.176,1.189,1.173,1.179,13216482.16
1641715200,1.179,1.183,1.152,1.163,13098869.71
1641729600,1.163,1.17,1.148,1.162,16172482.02
1641744000,1.162,1.206,1.157,1.202,26943199.66
1641758400,1.202,1.206,1.168,1.17,17665154.33
1641772800,1.17,1.181,1.156,1.162,17225694.799999997
1641787200,1.162,1.181,1.161,1.177,11631541.46
1641801600,1.177,1.178,1.148,1.152,10708298.73
1641816000,1.152,1.154,1.072,1.114,72385106.84
1641830400,1.114,1.138,1.091,1.115,36782966.07
1641844800,1.115,1.144,1.108,1.124,19811393.77
1641859200,1.124,1.169,1.123,1.162,24148507.95
1641873600,1.162,1.165,1.147,1.154,8800652.26
1641888000,1.154,1.167,1.134,1.143,15313349.39
1641902400,1.143,1.162,1.136,1.159,18994116.51
1641916800,1.159,1.196,1.158,1.187,27594405.02
1641931200,1.187,1.195,1.176,1.188,11568703.86
1641945600,1.188,1.221,1.187,1.219,25808169.87
1641960000,1.219,1.222,1.199,1.203,13592155.26
1641974400,1.203,1.256,1.203,1.245,21587154.55
1641988800,1.245,1.282,1.244,1.277,39908259.52
1642003200,1.277,1.296,1.27,1.288,28082134.82
1642017600,1.288,1.312,1.287,1.312,25629589.94
1642032000,1.312,1.354,1.292,1.296,46499939.64
1642046400,1.296,1.315,1.279,1.289,22513424.17
1642060800,1.289,1.309,1.274,1.275,16693357.13
1642075200,1.275,1.323,1.249,1.268,37306129.76
1642089600,1.268,1.279,1.233,1.246,29051988.13
1642104000,1.246,1.253,1.228,1.233,22530877.81
1642118400,1.233,1.251,1.224,1.247,17024976.49
1642132800,1.247,1.309,1.246,1.286,36674319.120000005
1642147200,1.286,1.288,1.227,1.234,31186585.91
1642161600,1.234,1.274,1.22,1.269,23500575.02
1642176000,1.269,1.273,1.25,1.264,14955862.76
1642190400,1.264,1.308,1.263,1.293,27949843.28
1642204800,1.293,1.294,1.268,1.27,14492465.14
1642219200,1.27,1.274,1.259,1.272,7888737.2
1642233600,1.272,1.284,1.26,1.267,7713143.02
1642248000,1.267,1.287,1.252,1.287,16331304.95
1642262400,1.287,1.299,1.275,1.299,11689709.75
1642276800,1.299,1.319,1.292,1.292,19000162.44
1642291200,1.292,1.353,1.287,1.336,35480118.79
1642305600,1.336,1.38,1.333,1.37,39629755.72
1642320000,1.37,1.4,1.358,1.392,30358561.96
1642334400,1.392,1.423,1.384,1.411,48574777.81
1642348800,1.411,1.419,1.386,1.389,39589131.53
1642363200,1.389,1.423,1.384,1.412,28332394.34
1642377600,1.412,1.495,1.387,1.455,91451037.47
1642392000,1.455,1.542,1.436,1.532,79344379.99
1642406400,1.532,1.561,1.512,1.517,60939104.16
1642420800,1.517,1.547,1.475,1.484,71703952.68
1642435200,1.484,1.573,1.454,1.559,105870007.01
1642449600,1.559,1.605,1.503,1.603,94476847.26
1642464000,1.603,1.638,1.563,1.578,117383163.37
1642478400,1.578,1.587,1.538,1.543,45189822.08
1642492800,1.543,1.543,1.474,1.493,63849206.42
1642507200,1.493,1.509,1.431,1.454,76127631.24
1642521600,1.454,1.462,1.412,1.436,50130329.260000005
1642536000,1.436,1.508,1.414,1.459,61730143.82
1642550400,1.459,1.534,1.441,1.452,79487466.85
1642564800,1.452,1.457,1.355,1.379,67240337.28
1642579200,1.379,1.43,1.364,1.428,50385150.22
1642593600,1.428,1.444,1.396,1.405,49743440.51
1642608000,1.405,1.41,1.367,1.368,46835496.16
1642622400,1.368,1.368,1.327,1.337,54891644.14
1642636800,1.337,1.357,1.317,1.351,56895444.76
1642651200,1.351,1.374,1.34,1.365,31600046.04
1642665600,1.365,1.367,1.334,1.35,20478737.54
1642680000,1.35,1.427,1.337,1.406,50264805.62
1642694400,1.406,1.415,1.377,1.388,38297744.11
1642708800,1.388,1.392,1.25,1.26,116684572.15
1642723200,1.26,1.287,1.201,1.206,138062422.03
1642737600,1.206,1.244,1.206,1.242,51221590.16
1642752000,1.242,1.244,1.208,1.217,27689437.54
1642766400,1.217,1.221,1.166,1.212,75257525.62
1642780800,1.212,1.222,1.18,1.185,47459495.17
1642795200,1.185,1.211,1.101,1.121,104456941.56
1642809600,1.121,1.155,1.115,1.136,48957700.78
1642824000,1.136,1.142,1.032,1.035,85579691.8
1642838400,1.035,1.055,0.9262,1.029,130551392.63
1642852800,1.029,1.144,1.022,1.055,103048898.16
1642867200,1.055,1.109,1.022,1.029,85775963.24000001
1642881600,1.029,1.103,1.025,1.071,71326691.57
1642896000,1.071,1.1,1.052,1.069,41199555.72
1642910400,1.069,1.133,1.063,1.121,53113494.1
1642924800,1.121,1.169,1.114,1.121,42690276.93
1642939200,1.121,1.136,1.078,1.094,41995866.85
1642953600,1.094,1.114,1.052,1.059,43198338.09
1642968000,1.059,1.139,1.054,1.125,47976464.07
1642982400,1.125,1.125,1.066,1.074,32348938.61
1642996800,1.074,1.081,1.027,1.03,30368617.1
1643011200,1.03,1.059,0.9634,0.9834,93238403.83
1643025600,0.9834,1.029,0.9517,1.02,109076020.43
1643040000,1.02,1.079,0.9896,1.062,86863797.33
1643054400,1.062,1.108,1.054,1.067,53989746.39
1643068800,1.067,1.069,1.03,1.048,29755356.28
1643083200,1.048,1.051,0.9927,1.015,29113084.75
1643097600,1.015,1.054,1.012,1.031,23291064.18
1643112000,1.031,1.054,1.004,1.029,40832904.6
1643126400,1.029,1.075,1.027,1.058,41380498.64
1643140800,1.058,1.058,1.021,1.042,26409216.130000003
1643155200,1.042,1.051,1.023,1.049,26728730.91
1643169600,1.049,1.065,1.029,1.042,26879455.78
1643184000,1.042,1.072,1.042,1.071,19995750.98
1643198400,1.071,1.131,1.064,1.107,67223554.32
1643212800,1.107,1.158,1.07,1.122,89749476.91
1643227200,1.122,1.123,1.03,1.078,85842503.96
1643241600,1.078,1.08,1.003,1.016,49571568.49
1643256000,1.016,1.056,1.012,1.044,24393217.61
1643270400,1.044,1.06,1.032,1.052,20428617.14
1643284800,1.052,1.078,1.043,1.05,31078009.94
1643299200,1.05,1.061,1.021,1.026,31697352.07
1643313600,1.026,1.05,1.005,1.043,35076446.39
1643328000,1.043,1.059,1.022,1.049,26302431.18
1643342400,1.049,1.055,1.031,1.034,17468388.86
1643356800,1.034,1.038,1.01,1.02,20287181.15
1643371200,1.02,1.04,1.013,1.039,31034205.22
1643385600,1.039,1.047,1.026,1.038,20038483.18
1643400000,1.038,1.06,1.033,1.049,23993561.34
1643414400,1.049,1.06,1.039,1.051,12591688.65
1643428800,1.051,1.076,1.046,1.074,14812506.49
1643443200,1.074,1.076,1.059,1.064,12409670.4
1643457600,1.064,1.083,1.047,1.054,23780082.31
1643472000,1.054,1.065,1.042,1.056,16176131.33
1643486400,1.056,1.076,1.054,1.06,17495246.34
1643500800,1.06,1.066,1.051,1.061,10399064.35
1643515200,1.061,1.078,1.06,1.075,10914524.19
1643529600,1.075,1.077,1.059,1.067,7239455.55
1643544000,1.067,1.069,1.048,1.054,12666234.35
1643558400,1.054,1.058,1.024,1.031,20742367.62
1643572800,1.031,1.049,1.028,1.036,18011992.48
1643587200,1.036,1.038,1.01,1.022,23674520.58
1643601600,1.022,1.026,1.011,1.024,12283623.68
1643616000,1.024,1.027,1.014,1.024,7635342.68
1643630400,1.024,1.039,1.013,1.036,31547700.590000004
1643644800,1.036,1.059,1.033,1.044,35389618.81
1643659200,1.044,1.055,1.039,1.052,18648654.38
1643673600,1.052,1.057,1.035,1.057,20210742.3
1643688000,1.057,1.064,1.045,1.056,15687312.68
1643702400,1.056,1.073,1.045,1.055,27301011.37
1643716800,1.055,1.075,1.053,1.066,28979629.73
1643731200,1.066,1.079,1.063,1.066,27667956.61
1643745600,1.066,1.097,1.066,1.096,21591211.39
1643760000,1.096,1.103,1.082,1.091,24871669.27
1643774400,1.091,1.091,1.056,1.06,21145650.4
1643788800,1.06,1.073,1.057,1.069,17547408.88
1643803200,1.069,1.083,1.04,1.047,34861698.13
1643817600,1.047,1.059,1.032,1.056,18445046.27
1643832000,1.056,1.058,1.024,1.027,20346806.17
1643846400,1.027,1.037,1.02,1.029,16989550.84
1643860800,1.029,1.043,1.028,1.042,7862971.94
1643875200,1.042,1.044,1.018,1.031,15385076.58
1643889600,1.031,1.05,1.019,1.046,24001312.05
1643904000,1.046,1.058,1.041,1.046,23393369.61
1643918400,1.046,1.062,1.037,1.061,19663257.69
1643932800,1.061,1.062,1.046,1.054,12561833.8
1643947200,1.054,1.075,1.051,1.065,14141256.27
1643961600,1.065,1.071,1.058,1.058,10153756.13
1643976000,1.058,1.084,1.047,1.079,30493027.29
1643990400,1.079,1.115,1.078,1.103,41289586.22
1644004800,1.103,1.14,1.102,1.139,26052220.51
1644019200,1.139,1.148,1.124,1.143,25409024.44
1644033600,1.143,1.178,1.138,1.153,32899773.33
1644048000,1.153,1.169,1.152,1.158,11620399.35
1644062400,1.158,1.159,1.135,1.152,18141187.34
1644076800,1.152,1.153,1.097,1.115,30898193.61
1644091200,1.115,1.134,1.11,1.126,13992859.48
1644105600,1.126,1.145,1.121,1.129,14667760.32
1644120000,1.129,1.132,1.112,1.128,10217582.2
1644134400,1.128,1.135,1.116,1.119,7311453.63
1644148800,1.119,1.137,1.099,1.114,18410940.03
1644163200,1.114,1.124,1.112,1.122,10088538.86
1644177600,1.122,1.151,1.118,1.144,19007345.99
1644192000,1.144,1.176,1.127,1.162,36722712.42
1644206400,1.162,1.168,1.151,1.165,18996559.21
1644220800,1.165,1.195,1.161,1.181,26724609.92
1644235200,1.181,1.209,1.176,1.205,45072054.39
1644249600,1.205,1.209,1.175,1.187,51878042.44
1644264000,1.187,1.208,1.181,1.199,25240488.49
1644278400,1.199,1.254,1.185,1.242,59536365.22
1644292800,1.242,1.264,1.214,1.233,33065300.54
1644307200,1.233,1.237,1.169,1.2,35625340.53
1644321600,1.2,1.2,1.153,1.168,33649597.230000004
