time,open,high,low,close,volume
1640995200,0.1703,0.1721,0.17,0.1719,1184222.52
1640998800,0.1719,0.1729,0.1715,0.1719,1066128.43
1641002400,0.1719,0.1722,0.1715,0.1716,816773.44
1641006000,0.1716,0.1718,0.1713,0.1714,1568114.43
1641009600,0.1714,0.1715,0.1702,0.1702,2573463.22
1641013200,0.1702,0.1725,0.1696,0.1717,1714170.28
1641016800,0.1717,0.1721,0.171,0.171,709176.84
1641020400,0.171,0.1716,0.1707,0.1713,885611.69
1641024000,0.1713,0.1719,0.1711,0.1715,588906.03
1641027600,0.1715,0.1719,0.1707,0.1711,494226.45
1641031200,0.1711,0.1718,0.1702,0.1706,759268.25
1641034800,0.1706,0.1712,0.1705,0.1705,279220.99
1641038400,0.1705,0.1715,0.1705,0.1714,537995.12
1641042000,0.1714,0.1714,0.1709,0.1711,489269.83
1641045600,0.1711,0.1715,0.1708,0.1713,1176715.93
1641049200,0.1713,0.1732,0.1712,0.1722,641070.19
1641052800,0.1722,0.1728,0.1718,0.1718,457264.92
1641056400,0.1718,0.1736,0.1718,0.1732,514602.83
1641060000,0.1732,0.1733,0.1724,0.173,411640.07
1641063600,0.173,0.1732,0.1724,0.1725,384922.95
1641067200,0.1725,0.1731,0.1725,0.1726,945265.14
1641070800,0.1726,0.173,0.1721,0.1721,695316.69
1641074400,0.1721,0.1728,0.172,0.1727,568596.45
1641078000,0.1727,0.1732,0.1724,0.1731,703389.01
1641081600,0.1731,0.1732,0.1722,0.173,670767.12
1641085200,0.173,0.173,0.1723,0.1724,369642.38
1641088800,0.1724,0.1727,0.1722,0.1726,482123.65
1641092400,0.1726,0.1728,0.1724,0.1727,560453.21
1641096000,0.1727,0.1728,0.1706,0.171,815234.17
1641099600,0.171,0.1718,0.1708,0.1717,354679.43
1641103200,0.1717,0.1723,0.1715,0.172,469051.0
1641106800,0.172,0.1723,0.1718,0.1719,332387.34
1641110400,0.1719,0.1722,0.1714,0.1722,311005.4
1641114000,0.1722,0.1738,0.172,0.173,1071449.56
1641117600,0.173,0.1732,0.1724,0.1725,355723.21
1641121200,0.1725,0.1734,0.1725,0.1731,218274.56
