time,open,high,low,close,volume
1640995200,26.64,27.29,26.64,27.26,4435150.05
1640998800,27.26,27.45,27.11,27.22,4633887.43
1641002400,27.22,27.38,27.12,27.19,1899096.41
1641006000,27.19,27.33,27.15,27.19,2222113.67
1641009600,27.19,27.31,26.89,26.92,3688910.4
1641013200,26.92,27.52,26.85,27.23,3451479.1
1641016800,27.23,27.35,27.14,27.16,1667608.83
1641020400,27.16,27.42,27.12,27.39,1705443.39
1641024000,27.39,27.41,27.24,27.27,1748523.22
1641027600,27.27,27.31,27.08,27.2,1446000.33
1641031200,27.2,27.28,26.86,27.03,2228742.33
1641034800,27.03,27.19,27.03,27.05,869037.38
1641038400,27.05,27.33,26.93,27.28,1426605.54
1641042000,27.28,27.33,27.14,27.21,1400290.55
1641045600,27.21,27.31,27.13,27.21,1425856.66
1641049200,27.21,27.71,27.18,27.59,3124955.49
1641052800,27.59,27.76,27.49,27.49,3902032.42
1641056400,27.49,27.96,27.49,27.96,3416064.68
1641060000,27.96,28.11,27.79,27.91,3921828.62
1641063600,27.91,28.04,27.88,27.99,3589374.18
1641067200,27.99,28.4,27.99,28.34,3768886.21
1641070800,28.34,28.47,28.23,28.3,4196340.08
1641074400,28.3,28.42,28.16,28.32,2063177.59
1641078000,28.32,28.64,28.23,28.6,2176111.73
1641081600,28.6,28.64,28.16,28.4,2922223.79
1641085200,28.4,28.41,28.11,28.13,2369880.13
1641088800,28.13,28.28,28.07,28.11,1900038.22
1641092400,28.11,28.37,28.1,28.21,1205625.46
1641096000,28.21,28.43,27.84,27.98,2467100.76
1641099600,27.98,28.4,27.93,28.4,2236700.59
1641103200,28.4,28.49,28.28,28.35,1543700.96
1641106800,28.35,28.51,28.3,28.36,1288482.51
1641110400,28.36,28.52,28.2,28.47,2109365.82
1641114000,28.47,28.88,28.42,28.8,1750986.24
1641117600,28.8,28.8,28.63,28.69,1772590.59
1641121200,28.69,28.94,28.66,28.91,1821162.87
1641124800,28.91,29.26,28.69,29.17,3596993.55
1641128400,29.17,29.28,28.94,29.22,2633674.46
1641132000,29.22,29.47,29.15,29.45,3359749.39
1641135600,29.45,29.8,29.34,29.73,5618630.62
1641139200,29.73,30.49,29.68,30.44,8855934.44
1641142800,30.44,30.61,30.13,30.22,8114717.46
1641146400,30.22,30.23,29.27,29.87,10796783.88
1641150000,29.87,30.12,29.64,29.94,4636835.04
1641153600,29.94,30.17,29.82,29.95,3728460.84
1641157200,29.95,30.06,29.6,29.6,2979483.71
1641160800,29.6,30.07,29.6,29.99,2473861.36
1641164400,29.99,30.05,29.66,29.7,3836108.21
1641168000,29.7,30.01,29.66,29.72,5439828.11
1641171600,29.72,30.3,29.68,29.83,4656941.35
1641175200,29.83,29.83,29.24,29.5,6266034.62
1641178800,29.5,29.56,28.73,28.8,12297202.43
1641182400,28.8,29.09,28.78,28.87,2636330.29
1641186000,28.87,29.1,28.78,29.05,3862030.51
1641189600,29.05,29.09,28.64,28.71,2633637.98
1641193200,28.71,28.93,28.67,28.9,1748194.37
1641196800,28.9,28.98,28.78,28.97,1593134.27
1641200400,28.97,29.28,28.81,29.27,2146832.54
1641204000,29.27,29.57,29.22,29.46,4174470.03
1641207600,29.46,30.07,29.46,30.02,4146634.77
1641211200,30.02,30.41,29.78,29.86,6344664.56
1641214800,29.86,30.48,29.85,30.44,6309907.97
1641218400,30.44,30.88,30.13,30.48,11675341.58
1641222000,30.48,30.75,30.03,30.16,8782615.33
1641225600,30.16,30.3,29.17,29.65,11929255.89
1641229200,29.65,30.13,29.61,29.71,6820434.12
1641232800,29.71,30.25,29.7,30.1,6661862.27
1641236400,30.1,30.33,29.91,29.93,6224259.86
1641240000,29.93,29.99,29.27,29.7,9543670.18
1641243600,29.7,30.14,29.55,29.83,5486668.97
1641247200,29.83,30.67,29.73,30.4,9732003.76
1641250800,30.4,30.51,30.06,30.09,5034982.93
1641254400,30.09,30.59,29.77,29.95,6934261.73
1641258000,29.95,30.23,29.7,29.87,4672982.61
1641261600,29.87,30.02,29.56,29.76,4586149.87
1641265200,29.76,30.07,29.57,29.89,4506943.99
1641268800,29.89,30.07,29.69,29.78,4109903.71
1641272400,29.78,30.15,29.68,29.98,2792312.11
1641276000,29.98,30.05,29.77,29.85,3403032.76
1641279600,29.85,30.05,29.68,29.83,3091828.8
1641283200,29.83,29.92,29.44,29.56,4597769.15
1641286800,29.56,29.66,29.32,29.4,2310434.57
1641290400,29.4,29.95,29.25,29.9,3545985.33
1641294000,29.9,30.06,29.78,30.03,3809781.54
1641297600,30.03,30.07,29.72,30.01,3356464.75
1641301200,30.01,30.07,29.61,29.69,7605945.09
1641304800,29.69,30.03,29.49,29.92,6640661.01
1641308400,29.92,30.3,29.63,29.71,4964866.98
1641312000,29.71,30.09,29.56,29.92,3065411.3
1641315600,29.92,30.12,29.78,29.8,3612365.02
1641319200,29.8,30.03,28.83,28.99,7172737.29
1641322800,28.99,29.54,28.76,29.15,6240158.77
1641326400,29.15,29.59,29.1,29.4,2887987.03
1641330000,29.4,29.45,29.2,29.34,2319036.93
1641333600,29.34,29.35,29.12,29.19,1927961.41
1641337200,29.19,29.2,28.69,28.69,4519280.72
1641340800,28.69,29.13,28.4,29.05,5626673.36
1641344400,29.05,29.25,28.89,28.9,4737723.32
1641348000,28.9,29.39,28.9,29.33,4102383.71
1641351600,29.33,29.52,29.28,29.44,3128802.55
1641355200,29.44,29.58,29.31,29.43,1805475.88
1641358800,29.43,29.55,29.32,29.45,1676341.94
1641362400,29.45,29.93,29.4,29.86,1783716.01
1641366000,29.86,29.89,29.62,29.66,1371312.04
