time,open,high,low,close,volume
1640995200,3675.79,3727.96,3675.79,3722.59,42703166.0
1640998800,3722.59,3747.53,3712.45,3724.82,54987817.82
1641002400,3724.82,3736.47,3722.81,3728.21,25524520.53
1641006000,3728.21,3735.9,3722.89,3724.02,16456456.76
1641009600,3724.02,3727.17,3706.64,3707.32,33026351.92
1641013200,3707.32,3763.08,3703.84,3735.78,35674573.42
1641016800,3735.78,3741.99,3708.32,3710.71,29957090.94
1641020400,3710.71,3723.6,3701.63,3715.26,29697141.85
1641024000,3715.26,3732.97,3708.72,3721.39,11487060.08
1641027600,3721.39,3729.54,3710.59,3718.01,7136989.7
1641031200,3718.01,3731.65,3675.15,3692.81,18426302.19
1641034800,3692.81,3711.45,3691.64,3693.93,9283141.74
1641038400,3693.93,3718.38,3693.61,3716.34,8713448.46
1641042000,3716.34,3725.02,3707.42,3710.98,10195134.34
1641045600,3710.98,3714.22,3694.7,3699.06,12314370.5
1641049200,3699.06,3745.21,3693.49,3726.96,26112856.68
1641052800,3726.96,3748.49,3720.25,3728.61,21494424.87
1641056400,3728.61,3765.65,3728.61,3761.74,24949478.87
1641060000,3761.74,3766.5,3741.38,3753.4,23677259.19
1641063600,3753.4,3758.65,3736.57,3748.63,27442951.79
1641067200,3748.63,3776.75,3741.86,3762.49,28753173.68
1641070800,3762.49,3777.06,3747.32,3749.42,20589036.07
1641074400,3749.42,3764.73,3741.12,3758.86,17075374.9
1641078000,3758.86,3774.35,3747.04,3766.74,17229924.77
1641081600,3766.74,3771.88,3753.19,3763.81,18279637.97
1641085200,3763.81,3764.85,3743.67,3747.7,13546490.98
1641088800,3747.7,3754.32,3739.48,3747.58,20428760.73
1641092400,3747.58,3761.6,3744.51,3759.35,11420082.54
1641096000,3759.35,3762.78,3718.46,3724.8,20945204.41
1641099600,3724.8,3745.45,3721.86,3744.87,16974200.28
1641103200,3744.87,3750.28,3738.55,3739.63,8617493.36
1641106800,3739.63,3752.81,3735.42,3748.15,9004856.05
1641110400,3748.15,3749.32,3734.31,3744.77,7718245.77
1641114000,3744.77,3769.9,3739.9,3754.67,14124874.27
1641117600,3754.67,3759.49,3741.74,3743.76,8193821.64
1641121200,3743.76,3756.48,3742.62,3744.66,7719691.13
1641124800,3744.66,3758.93,3730.98,3754.93,24621121.29
1641128400,3754.93,3757.07,3741.6,3745.97,15633869.35
1641132000,3745.97,3756.39,3744.11,3752.78,10408101.51
1641135600,3752.78,3790.78,3752.78,3779.83,23927571.19
1641139200,3779.83,3849.66,3779.2,3839.67,68088672.05
1641142800,3839.67,3854.47,3812.42,3826.09,62221800.99
1641146400,3826.09,3826.84,3774.3,3796.26,44666330.86
1641150000,3796.26,3807.55,3785.39,3800.52,25478459.9
1641153600,3800.52,3814.47,3795.58,3810.25,30534512.84
1641157200,3810.25,3828.96,3803.49,3812.9,28500238.22
1641160800,3812.9,3834.07,3811.95,3829.0,21374523.41
1641164400,3829.0,3840.99,3821.49,3830.92,20483847.3
1641168000,3830.92,3830.92,3807.69,3808.69,18585451.82
1641171600,3808.69,3810.93,3795.88,3805.78,21690618.13
1641175200,3805.78,3805.85,3786.48,3798.01,24189309.44
1641178800,3798.01,3806.52,3776.72,3786.19,23960103.15
1641182400,3786.19,3799.78,3782.18,3792.04,11971946.26
1641186000,3792.04,3822.92,3791.67,3812.6,19702616.99
1641189600,3812.6,3816.35,3800.84,3803.13,14823079.45
1641193200,3803.13,3809.9,3799.76,3808.98,8979321.51
1641196800,3808.98,3822.18,3806.35,3808.45,14492876.23
1641200400,3808.45,3818.56,3792.79,3809.0,21903454.62
1641204000,3809.0,3830.2,3809.0,3824.13,19844118.04
1641207600,3824.13,3843.6,3824.03,3836.66,18362595.01
1641211200,3836.66,3838.64,3817.61,3820.02,19986691.3
1641214800,3820.02,3830.42,3819.14,3819.52,19590584.31
1641218400,3819.52,3850.72,3803.52,3804.34,49424864.99
1641222000,3804.34,3813.72,3776.24,3783.83,56277100.44
1641225600,3783.83,3793.93,3735.63,3748.25,95722468.92
1641229200,3748.25,3775.39,3744.43,3761.77,35359362.25
1641232800,3761.77,3770.43,3746.66,3751.6,35746932.96
1641236400,3751.6,3763.44,3741.18,3741.18,30661187.67
1641240000,3741.18,3742.14,3682.61,3699.54,77598494.13
1641243600,3699.54,3733.65,3694.41,3724.98,29968372.45
1641247200,3724.98,3770.78,3723.78,3751.78,36316722.26
1641250800,3751.78,3777.15,3746.91,3765.16,28690603.94
1641254400,3765.16,3773.7,3737.51,3742.63,31458865.15
1641258000,3742.63,3758.01,3728.12,3733.46,18972521.5
1641261600,3733.46,3739.4,3714.62,3726.94,23689793.27
1641265200,3726.94,3749.3,3719.76,3744.98,17073843.32
1641268800,3744.98,3753.28,3730.48,3731.25,15988481.53
1641272400,3731.25,3747.88,3727.55,3742.56,12889179.01
1641276000,3742.56,3756.07,3736.48,3753.65,14739602.36
1641279600,3753.65,3763.64,3747.69,3763.54,14462091.22
1641283200,3763.54,3780.31,3759.1,3771.25,22460411.62
1641286800,3771.25,3779.0,3763.98,3766.68,13022202.07
1641290400,3766.68,3814.88,3765.4,3807.14,28738811.29
1641294000,3807.14,3840.39,3806.94,3837.71,41413373.79
