time,open,high,low,close,volume
1640995200,169.93,174.25,169.92,172.88,46370968.58
1641009600,172.88,174.31,171.28,173.12,33329552.76
1641024000,173.12,173.35,170.87,171.56,16257180.38
1641038400,171.56,174.13,171.46,173.87,16723302.76
1641052800,173.87,177.38,173.64,177.35,43094439.39
1641067200,177.35,179.21,176.22,179.09,62694611.48
1641081600,179.09,179.5,177.01,177.71,47310982.95
1641096000,177.71,178.08,175.17,175.86,22585445.25
1641110400,175.86,176.27,174.58,175.64,21279643.14
1641124800,175.64,176.75,175.07,176.26,16387051.41
1641139200,176.26,178.71,174.41,175.36,38875224.370000005
1641153600,175.36,177.07,174.74,176.4,22030872.0
1641168000,176.4,176.48,172.16,172.79,41067810.9
1641182400,172.79,173.83,172.03,173.11,25977256.17
1641196800,173.11,175.0,172.41,174.77,20228671.630000003
1641211200,174.77,175.89,170.87,170.94,40666903.0
1641225600,170.94,171.7,169.0,170.04,50419886.88
1641240000,170.04,171.06,166.68,170.08,50915496.42
1641254400,170.08,170.36,166.98,167.78,43335267.13
1641268800,167.78,169.11,166.49,169.04,39234787.29
1641283200,169.04,172.27,167.32,171.62,37383679.99
1641297600,171.62,173.83,170.57,172.15,54639484.95
1641312000,172.15,172.45,167.1,168.49,51510877.7
1641326400,168.49,169.43,167.49,167.75,27335501.16
1641340800,167.75,169.27,167.18,169.15,30430233.92
1641355200,169.15,170.42,168.11,169.88,19937433.15
1641369600,169.88,171.28,168.02,168.5,22987825.14
1641384000,168.5,169.25,167.5,168.25,42050481.77
1641398400,168.25,168.6,157.6,158.57,124025753.47
1641412800,158.57,159.69,145.02,154.36,190145862.74
1641427200,154.36,154.76,148.17,148.17,87281509.48
1641441600,148.17,150.9,147.08,150.64,92504394.99
1641456000,150.64,150.89,146.02,147.44,68432636.73
1641470400,147.44,151.0,146.23,149.68,99990306.77
1641484800,149.68,154.37,148.83,153.9,73117358.16
1641499200,153.9,153.93,150.05,150.23,47381053.74
1641513600,150.23,150.64,138.08,139.6,170664965.69
1641528000,139.6,141.13,134.72,138.88,142854955.8
1641542400,138.88,142.51,138.25,139.12,77733892.48
1641556800,139.12,142.72,133.79,135.96,94668589.42
1641571200,135.96,141.65,134.42,140.16,75881419.29
1641585600,140.16,141.0,135.92,136.39,50696093.29
1641600000,136.39,141.49,135.8,139.34,45435535.32
1641614400,139.34,144.58,139.32,144.34,46255268.73
1641628800,144.34,148.04,144.26,146.41,60313210.28
1641643200,146.41,146.75,142.3,144.22,51809020.3
1641657600,144.22,146.13,133.01,135.43,152804594.35
1641672000,135.43,146.82,134.64,142.11,108590834.21
1641686400,142.11,145.32,140.74,141.89,55203320.92
1641700800,141.89,143.72,140.12,140.42,22215328.23
1641715200,140.42,141.33,137.88,140.65,28317963.19
1641729600,140.65,140.88,138.0,140.12,25329446.81
1641744000,140.12,145.65,139.68,145.29,60597012.71
1641758400,145.29,145.62,140.05,140.77,48387635.41
1641772800,140.77,142.53,138.89,140.68,33780554.06
1641787200,140.68,143.75,140.31,143.05,32717615.53
1641801600,143.05,143.46,139.0,139.4,28570899.67
1641816000,139.4,139.7,130.06,133.17,153193506.92000002
1641830400,133.17,137.51,130.78,132.65,97856261.4
1641844800,132.65,136.11,131.93,135.86,49382557.52
1641859200,135.86,137.51,133.65,137.28,43383151.84
1641873600,137.28,137.9,135.08,137.28,28846059.95
1641888000,137.28,138.36,134.31,135.47,35861650.480000004
1641902400,135.47,138.0,135.09,137.06,52447939.31
1641916800,137.06,143.51,137.0,142.48,98423876.6
1641931200,142.48,143.17,139.82,140.25,37179989.89
1641945600,140.25,141.56,139.23,140.13,26619231.18
1641960000,140.13,140.87,138.27,138.96,25475633.71
1641974400,138.96,144.12,138.76,141.46,57452221.27
1641988800,141.46,148.64,141.28,147.73,110674011.23
1642003200,147.73,153.26,147.69,152.82,120376750.37
1642017600,152.82,153.26,151.36,151.51,45607183.45
1642032000,151.51,152.23,148.27,148.75,37054453.900000006
1642046400,148.75,151.63,148.71,151.46,23677281.64
1642060800,151.46,152.85,150.02,150.44,24144598.46
