time,open,high,low,close,volume
1640995200,0.8292,0.8512,0.8292,0.8414,4550408.57
1641009600,0.8414,0.846,0.8354,0.8415,3099075.5
1641024000,0.8415,0.8439,0.8355,0.839,2747190.59
1641038400,0.839,0.8451,0.839,0.8427,2082554.36
1641052800,0.8427,0.8559,0.8427,0.8523,3160394.15
1641067200,0.8523,0.8537,0.8452,0.8501,3420276.02
1641081600,0.8501,0.8507,0.8414,0.8439,2396104.89
1641096000,0.8439,0.8466,0.8378,0.8426,1590268.63
1641110400,0.8426,0.8484,0.8403,0.8455,1515752.54
1641124800,0.8455,0.8652,0.8431,0.8567,3257744.89
1641139200,0.8567,0.8639,0.8465,0.8519,4304163.37
1641153600,0.8519,0.861,0.8504,0.8592,1857440.73
1641168000,0.8592,0.8592,0.8445,0.8453,4374035.4
1641182400,0.8453,0.8477,0.8414,0.8426,5792806.859999999
1641196800,0.8426,0.8467,0.8344,0.8446,5169655.66
1641211200,0.8446,0.8456,0.8374,0.8379,4441241.63
1641225600,0.8379,0.8388,0.826,0.8336,6123064.66
1641240000,0.8336,0.8377,0.8217,0.8324,4792497.8
1641254400,0.8324,0.8339,0.823,0.8275,7041782.46
1641268800,0.8275,0.8301,0.8205,0.8274,8759609.3
1641283200,0.8274,0.837,0.8264,0.8361,4131254.01
1641297600,0.8361,0.845,0.8308,0.8343,10438362.52
1641312000,0.8343,0.8363,0.8152,0.8244,10729263.9
1641326400,0.8244,0.8303,0.8229,0.8229,2542157.01
1641340800,0.8229,0.8339,0.8215,0.8303,5899036.5600000005
1641355200,0.8303,0.834,0.8279,0.8288,5463439.73
1641369600,0.8288,0.8364,0.8239,0.826,3159549.1100000003
1641384000,0.826,0.8298,0.8209,0.8272,6341448.28
1641398400,0.8272,0.8296,0.7935,0.7979,9006409.75
1641412800,0.7979,0.8023,0.7126,0.7728,29593810.86
1641427200,0.7728,0.7779,0.7497,0.75,11067196.35
1641441600,0.75,0.7655,0.7476,0.7619,7077533.95
1641456000,0.7619,0.7622,0.7392,0.7481,13684740.3
1641470400,0.7481,0.7649,0.7424,0.7625,11727765.5
1641484800,0.7625,0.7818,0.7601,0.781,10689899.5
1641499200,0.781,0.7905,0.7771,0.78,7343803.46
1641513600,0.78,0.78,0.7403,0.7445,15540631.21
1641528000,0.7445,0.7541,0.7291,0.7519,17673880.25
1641542400,0.7519,0.7755,0.7492,0.7574,20731198.8
1641556800,0.7574,0.7672,0.7361,0.7487,17820299.28
1641571200,0.7487,0.7701,0.7441,0.7646,16260056.07
1641585600,0.7646,0.7776,0.7581,0.7627,6426420.65
1641600000,0.7627,0.7745,0.7617,0.7684,7291889.35
1641614400,0.7684,0.7752,0.7672,0.7723,4775930.65
1641628800,0.7723,0.7762,0.763,0.7644,7765363.939999999
1641643200,0.7644,0.7685,0.7531,0.7572,10330764.34
1641657600,0.7572,0.7618,0.7236,0.73,18818828.15
1641672000,0.73,0.7602,0.7267,0.7453,8692737.120000001
1641686400,0.7453,0.7568,0.7414,0.7513,5426144.12
1641700800,0.7513,0.7579,0.7487,0.7498,4513757.53
1641715200,0.7498,0.7525,0.741,0.7504,6438800.07
1641729600,0.7504,0.7516,0.7387,0.7432,5243583.74
1641744000,0.7432,0.7662,0.7423,0.7651,7129463.57
1641758400,0.7651,0.7667,0.7512,0.7529,6043305.03
1641772800,0.7529,0.7578,0.7477,0.7535,6982367.12
1641787200,0.7535,0.7586,0.7512,0.7516,6533589.609999999
1641801600,0.7516,0.7523,0.7397,0.7412,10422402.55
1641816000,0.7412,0.7429,0.6984,0.7247,25678664.21
1641830400,0.7247,0.744,0.7144,0.7225,16779042.16
1641844800,0.7225,0.7402,0.72,0.7402,7623016.16
1641859200,0.7402,0.7476,0.733,0.7462,12225915.6
1641873600,0.7462,0.7555,0.7439,0.7462,12947554.99
1641888000,0.7462,0.75,0.7309,0.7401,8598775.969999999
1641902400,0.7401,0.7467,0.7312,0.7412,10693244.58
1641916800,0.7412,0.7693,0.7408,0.7636,14620721.84
1641931200,0.7636,0.7759,0.7634,0.7703,7914962.78
1641945600,0.7703,0.7798,0.7677,0.7724,12068172.95
1641960000,0.7724,0.7736,0.7588,0.7603,9484390.9
1641974400,0.7603,0.7769,0.7577,0.7712,11515986.58
1641988800,0.7712,0.8008,0.771,0.7917,22726094.17
1642003200,0.7917,0.7987,0.7853,0.7979,12469308.06
1642017600,0.7979,0.8074,0.7954,0.7989,6105386.12
1642032000,0.7989,0.8023,0.7851,0.7877,12348463.99
1642046400,0.7877,0.7973,0.7872,0.7922,4230160.24
1642060800,0.7922,0.7992,0.784,0.784,8685847.47
1642075200,0.784,0.7986,0.7698,0.7756,13503764.72
1642089600,0.7756,0.7808,0.7628,0.7666,8197269.07
1642104000,0.7666,0.7732,0.7612,0.7678,6039207.64
1642118400,0.7678,0.7727,0.7648,0.7708,8907374.379999999
1642132800,0.7708,0.7903,0.7705,0.7807,14637905.52
1642147200,0.7807,0.7813,0.754,0.7574,18097020.33
1642161600,0.7574,0.7776,0.7522,0.7735,15877539.85
1642176000,0.7735,0.7759,0.7646,0.7721,10600114.6
1642190400,0.7721,0.7808,0.7712,0.7734,6799681.18
1642204800,0.7734,0.7772,0.7703,0.7729,6398554.71
1642219200,0.7729,0.7806,0.7698,0.7797,3640801.76
1642233600,0.7797,0.7806,0.7754,0.777,4693550.6
1642248000,0.777,0.788,0.7687,0.7869,5986704.41
1642262400,0.7869,0.7886,0.7824,0.7846,3923645.53
1642276800,0.7846,0.7897,0.7795,0.7796,4403131.84
1642291200,0.7796,0.7813,0.7733,0.7778,3096987.43
1642305600,0.7778,0.7828,0.7762,0.7812,2433727.67
1642320000,0.7812,0.7845,0.7758,0.7768,4271682.18
1642334400,0.7768,0.7806,0.7687,0.7777,6056080.5
1642348800,0.7777,0.7841,0.7742,0.7752,5452873.97
1642363200,0.7752,0.7812,0.7732,0.7785,2291067.47
1642377600,0.7785,0.7804,0.7667,0.7669,11321885.37
1642392000,0.7669,0.7683,0.756,0.7658,12221493.67
1642406400,0.7658,0.7699,0.7607,0.7658,7750018.279999999
1642420800,0.7658,0.7659,0.7585,0.7589,9651234.87
1642435200,0.7589,0.7646,0.7505,0.7639,6539916.81
1642449600,0.7639,0.7648,0.751,0.7623,5475736.59
1642464000,0.7623,0.7685,0.7558,0.7571,7883714.86
1642478400,0.7571,0.7628,0.751,0.7568,5900626.62
1642492800,0.7568,0.7569,0.7362,0.7474,11130437.55
1642507200,0.7474,0.7489,0.7379,0.7437,10019355.18
1642521600,0.7437,0.7497,0.7408,0.7491,8199335.84
1642536000,0.7491,0.7595,0.7434,0.7517,5278045.5
1642550400,0.7517,0.7534,0.7371,0.7414,14092830.08
1642564800,0.7414,0.7455,0.7263,0.7277,10223091.09
1642579200,0.7277,0.7393,0.7239,0.7385,9650635.41
1642593600,0.7385,0.7461,0.7359,0.7388,11551950.5
1642608000,0.7388,0.744,0.7344,0.7412,7189867.28
1642622400,0.7412,0.7441,0.7382,0.7382,5394964.3
1642636800,0.7382,0.7483,0.7376,0.7431,10841680.41
1642651200,0.7431,0.7484,0.7424,0.7457,6535936.51
1642665600,0.7457,0.7462,0.7399,0.7427,10701750.55
1642680000,0.7427,0.7613,0.7406,0.7599,9184464.0
1642694400,0.7599,0.762,0.7522,0.7579,7661552.8
1642708800,0.7579,0.759,0.7162,0.7197,15939049.87
1642723200,0.7197,0.7287,0.6875,0.6901,28450379.21
1642737600,0.6901,0.6991,0.6835,0.6952,10962648.28
1642752000,0.6952,0.6972,0.6848,0.6876,11859587.68
1642766400,0.6876,0.6881,0.6608,0.6819,21837887.11
1642780800,0.6819,0.6861,0.6658,0.666,13089154.96
1642795200,0.666,0.6733,0.6138,0.6373,41603559.1
1642809600,0.6373,0.6533,0.6306,0.6391,11851383.85
1642824000,0.6391,0.6468,0.5966,0.6003,21728316.09
1642838400,0.6003,0.6104,0.5507,0.5874,42052670.59
1642852800,0.5874,0.6122,0.573,0.5738,21690130.43
1642867200,0.5738,0.5902,0.563,0.5802,35780090.92
1642881600,0.5802,0.6071,0.5766,0.597,13551074.98
1642896000,0.597,0.6105,0.5906,0.6001,8021572.12
1642910400,0.6001,0.6189,0.598,0.616,10328205.34
1642924800,0.616,0.6273,0.6127,0.6166,11877129.39
1642939200,0.6166,0.6264,0.5998,0.6042,13338188.36
1642953600,0.6042,0.61,0.5914,0.5942,9330602.15
1642968000,0.5942,0.6351,0.5929,0.629,9002516.93
1642982400,0.629,0.629,0.6082,0.6136,11093233.7
1642996800,0.6136,0.6157,0.599,0.5994,10158434.78
1643011200,0.5994,0.606,0.56,0.5685,32539719.14
1643025600,0.5685,0.585,0.5536,0.5824,28159287.2
1643040000,0.5824,0.5996,0.5692,0.5976,19745991.84
1643054400,0.5976,0.6216,0.5969,0.6121,8603622.41
1643068800,0.6121,0.6123,0.5977,0.6008,10590373.66
1643083200,0.6008,0.6019,0.5877,0.5931,14056590.39
1643097600,0.5931,0.6096,0.5923,0.6004,9194296.82
1643112000,0.6004,0.6111,0.5926,0.6018,9594567.81
1643126400,0.6018,0.6176,0.6017,0.6126,7950500.91
1643140800,0.6126,0.6236,0.6029,0.6176,7288073.640000001
1643155200,0.6176,0.6217,0.6085,0.6204,15678398.4
1643169600,0.6204,0.6317,0.6183,0.621,8473625.72
1643184000,0.621,0.6375,0.6208,0.6336,13322459.05
1643198400,0.6336,0.6418,0.6207,0.6351,17114834.62
1643212800,0.6351,0.6586,0.624,0.6387,16250689.77
1643227200,0.6387,0.639,0.6059,0.6197,11243532.49
1643241600,0.6197,0.6244,0.5903,0.5942,14565821.91
1643256000,0.5942,0.6091,0.5935,0.6049,5263100.58
1643270400,0.6049,0.611,0.5974,0.6091,10008324.69
1643284800,0.6091,0.6195,0.6067,0.6108,6674820.49
1643299200,0.6108,0.6142,0.5997,0.6034,6090873.42
1643313600,0.6034,0.6095,0.5898,0.6085,6980990.01
1643328000,0.6085,0.6131,0.5987,0.6086,13311765.21
1643342400,0.6086,0.6111,0.6012,0.6018,7280049.289999999
1643356800,0.6018,0.6041,0.5923,0.595,8255359.729999999
1643371200,0.595,0.6042,0.5918,0.6029,10853891.62
1643385600,0.6029,0.609,0.5981,0.6039,7768759.57
1643400000,0.6039,0.6135,0.6008,0.6116,7808077.470000001
1643414400,0.6116,0.6155,0.6095,0.6122,3212824.4
1643428800,0.6122,0.6186,0.6098,0.6182,3914383.65
1643443200,0.6182,0.6197,0.6136,0.6157,3578153.31
1643457600,0.6157,0.623,0.6096,0.6141,7884087.16
1643472000,0.6141,0.6187,0.6104,0.616,3769321.29
1643486400,0.616,0.6254,0.6137,0.6175,4016056.2
1643500800,0.6175,0.6197,0.6112,0.616,2672420.71
1643515200,0.616,0.6234,0.615,0.6217,3328934.67
1643529600,0.6217,0.623,0.616,0.62,2437330.76
1643544000,0.62,0.6206,0.6104,0.6159,4693681.87
1643558400,0.6159,0.6162,0.5995,0.6008,5356983.95
1643572800,0.6008,0.6084,0.598,0.6019,4898749.99
1643587200,0.6019,0.6022,0.5817,0.5862,15430313.85
1643601600,0.5862,0.5905,0.5806,0.5896,8833800.39
1643616000,0.5896,0.5926,0.5851,0.5904,5638205.77
1643630400,0.5904,0.6008,0.584,0.597,11097270.65
1643644800,0.597,0.6104,0.5961,0.6072,9525462.84
1643659200,0.6072,0.6244,0.6057,0.6175,11075787.78
