Fetching live data for all 45 strategies…

Strategy                       | Status   | 90d %  | 30d %  | 7d %   | Sharpe| PF   | Max DD | Trades| Win % | Avg R | Errors
-------------------------------|----------|--------|--------|--------|-------|------|--------|-------|-------|-------|--------
HY v4 Tuned                    | live     |   -0.2 |   -0.2 |    0.0 |   —   |  0.00 |   -0.2 |   1 |   0 | -0.48 | [1] 4 pre-cutoff trade(s) excluded
HY v7-Best BTC TG              | research |    —   |    —   |    —   |   —   |   —   |    —   |   0 |   — |   —   | 
Basket Breakout v1             | live     |   +0.9 |   +0.9 |    0.0 |   —   |   —   |    0.0 |   1 | 100 |  1.78 | [1] 3 pre-cutoff round-trip(s) exc
Aggro Leader Continuation v1   | canary   |    0.0 |    0.0 |    0.0 |   —   |   —   |    0.0 |   0 |   — |   —   | 
Analyst HY v1                  | live     |   +1.6 |   +1.6 |    0.0 |   —   |   —   |    0.0 |   1 | 100 |   —   | [1] 2 pre-cutoff trade(s) excluded
BULL v0                        | live     |   +6.4 |   +6.4 |   +1.2 |  5.91 |  2.40 |   -2.7 |  14 |  29 |  0.13 | [1] 10 pre-contest-window trades e
BULL v0.12-SBD (twin)          | live     |    0.0 |    0.0 |    0.0 |   —   |   —   |    0.0 |   0 |   — |   —   | 
CODEX v0                       | live     |   -1.6 |   -1.6 |    0.0 | -5.59 |  0.41 |   -2.7 |   4 |  25 | -0.64 | 
CODEX Aggro v0                 | live     |   +6.0 |   +6.0 |   -1.7 |  6.72 |  3.95 |   -1.6 |  10 |  60 |  0.52 | 
CODEX Convex Crypto Scout v1   | live     |    0.0 |    0.0 |    0.0 |   —   |   —   |    0.0 |   0 |   — |   —   | 
CODEX Markov Directional v1    | live     |    0.0 |    0.0 |    0.0 |   —   |   —   |    0.0 |   0 |   — |   —   | 
CODEX Markov Gate v1           | live     |    0.0 |    0.0 |    0.0 |   —   |   —   |    0.0 |   0 |   — |   —   | 
CODEX Aggro Quality v3         | live     |    0.0 |    0.0 |    0.0 |   —   |   —   |    0.0 |   0 |   — |   —   | 
CODEX Aggro Plus v1            | live     |   -1.9 |   -1.9 |   -1.9 | -19.74 |  0.00 |   -1.9 |   5 |   0 | -0.37 | 
